Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
Twitter,#Tech,Tweet,Canada,4549360,280796,69638,48578,Low
Twitter,#Viral,Tweet,Australia,3294369,278905,91660,30693,Low
YouTube,#Challenge,Post,Australia,1131562,73853,82394,40738,Medium
TikTok,#Comedy,Tweet,Australia,994341,435936,50179,47236,Low
TikTok,#Fashion,Shorts,USA,4461411,195035,1636,17389,Medium
YouTube,#Music,Video,USA,3906243,385981,34390,20819,Medium
TikTok,#Education,Tweet,Japan,37444,248092,97919,7879,Medium
YouTube,#Comedy,Reel,Japan,1406957,197077,91374,827,High
TikTok,#Dance,Tweet,Brazil,3614546,30253,6220,8336,Medium
Twitter,#Viral,Tweet,USA,2173237,348685,72757,47567,High
YouTube,#Fashion,Reel,UK,3512308,352367,48651,30525,High
Instagram,#Fitness,Post,UK,3336371,199406,96109,1573,Low
TikTok,#Music,Live Stream,Australia,1792773,196111,17185,44558,High
YouTube,#Tech,Post,USA,1164487,190936,74111,26606,Low
Instagram,#Music,Post,USA,3785489,39486,15742,31425,Low
YouTube,#Education,Shorts,Germany,4654860,203449,26065,43151,Low
TikTok,#Comedy,Shorts,UK,4387433,206254,65523,33431,Low
Instagram,#Education,Live Stream,Canada,4306085,274903,59924,38017,High
YouTube,#Comedy,Tweet,Brazil,3269493,255001,76660,33928,Low
Twitter,#Music,Live Stream,Brazil,4226285,275310,91592,30473,Medium
TikTok,#Tech,Tweet,Australia,2188892,461087,83275,9604,High
YouTube,#Fashion,Post,Brazil,770013,8387,28886,19115,Low
TikTok,#Comedy,Live Stream,India,842016,244313,18044,22699,Low
Twitter,#Music,Live Stream,USA,834815,380472,73770,34678,Low
YouTube,#Challenge,Post,Brazil,4935280,316067,91218,33572,Low
Instagram,#Dance,Post,India,2610314,497448,37488,3751,High
Twitter,#Fitness,Post,Canada,4043662,11341,12132,24625,Medium
TikTok,#Challenge,Post,USA,663239,53100,9335,45066,Medium
YouTube,#Education,Tweet,Canada,235262,223770,59170,19622,Low
YouTube,#Fashion,Shorts,Germany,1011367,148407,85203,37176,High
TikTok,#Gaming,Video,Canada,958894,353889,26494,34577,High
Twitter,#Gaming,Post,UK,107075,175627,91997,26950,Low
Instagram,#Music,Shorts,Japan,2719250,9766,64708,4376,High
Instagram,#Dance,Post,Canada,4021492,455615,5258,11806,Medium
Twitter,#Music,Reel,India,1668627,338390,82782,10516,High
YouTube,#Fashion,Tweet,Brazil,2589762,395367,91956,27337,High
TikTok,#Challenge,Tweet,Japan,2706964,164322,27291,40079,High
YouTube,#Education,Live Stream,India,2181994,78102,72816,15652,High
TikTok,#Fashion,Shorts,UK,4812866,463457,70334,41360,Medium
Twitter,#Education,Live Stream,USA,2737221,143378,97838,36632,High
Instagram,#Fitness,Video,Australia,2986160,146980,99759,23072,Medium
TikTok,#Education,Live Stream,UK,3112218,43412,99638,9495,Medium
YouTube,#Viral,Video,Canada,1178987,190093,72698,10056,Low
Twitter,#Music,Shorts,Brazil,1850122,59352,19843,7319,High
TikTok,#Education,Reel,Japan,1135439,146702,92258,22335,Medium
TikTok,#Music,Post,Japan,3273580,255450,69728,20381,High
Twitter,#Fitness,Live Stream,Japan,4056000,198488,14421,35350,High
Twitter,#Dance,Tweet,UK,3783154,75634,72448,27341,High
YouTube,#Education,Tweet,USA,2798895,117333,64208,22561,Medium
TikTok,#Dance,Post,Germany,516351,64998,8340,6090,High
Twitter,#Viral,Video,Brazil,2758545,191075,62671,43510,High
Instagram,#Comedy,Post,Australia,3467552,147696,27597,48344,Medium
Instagram,#Comedy,Live Stream,India,1557711,232504,92705,26887,Medium
Instagram,#Comedy,Video,Australia,1703779,308045,85908,45368,High
Instagram,#Challenge,Tweet,India,2069092,440513,93023,27202,Low
Twitter,#Fashion,Video,USA,3718031,227580,713,33831,Medium
YouTube,#Comedy,Live Stream,USA,3431137,116381,42790,46147,Medium
TikTok,#Fashion,Shorts,Germany,4214269,222752,57342,4097,High
Twitter,#Education,Shorts,UK,4746993,487011,88442,9469,Low
YouTube,#Music,Shorts,Australia,3594748,64875,4109,27363,High
TikTok,#Education,Live Stream,Japan,1006386,96310,36336,12500,Medium
YouTube,#Education,Video,Canada,2899934,201125,90937,32201,High
YouTube,#Tech,Live Stream,Canada,332524,334771,62559,49605,High
Instagram,#Gaming,Shorts,Canada,1085496,253431,33825,31215,Low
Twitter,#Music,Tweet,Canada,4101021,136771,88796,4043,Medium
Twitter,#Tech,Reel,Germany,2531742,387241,7902,4038,Low
Twitter,#Gaming,Tweet,Australia,3561668,293915,74678,26781,Medium
YouTube,#Gaming,Reel,USA,2672532,448134,21213,18748,Low
TikTok,#Challenge,Video,Australia,4720948,4313,9479,36144,High
TikTok,#Education,Live Stream,UK,1067880,428558,44337,33150,High
YouTube,#Comedy,Reel,USA,1820646,426986,84306,37105,Low
YouTube,#Fitness,Shorts,Australia,3068330,12455,15628,1032,Low
Instagram,#Challenge,Reel,Canada,3082916,70195,7912,15188,Medium
Instagram,#Fashion,Reel,Japan,1946599,162862,98819,40097,High
TikTok,#Education,Tweet,USA,2528340,193265,42231,11761,High
YouTube,#Music,Video,Australia,3464416,130550,75762,46478,Low
TikTok,#Education,Live Stream,Canada,2993394,381818,62760,25589,High
TikTok,#Tech,Reel,Australia,3347578,376879,24479,27327,Medium
Instagram,#Challenge,Reel,Australia,829327,240625,50607,2433,High
Instagram,#Education,Video,Japan,3940342,210349,63035,33406,Low
YouTube,#Gaming,Shorts,India,3371209,159590,1231,32209,High
YouTube,#Challenge,Live Stream,Germany,748460,229548,23753,13759,Low
YouTube,#Education,Tweet,India,4499716,319387,40397,975,High
Instagram,#Viral,Shorts,Canada,4465663,253096,56168,30810,Low
Instagram,#Comedy,Reel,Brazil,3605145,490924,80578,11164,Medium
Instagram,#Fitness,Reel,Germany,2244659,464647,72133,21371,Medium
Twitter,#Challenge,Post,Japan,4869978,319690,93177,4639,Medium
Twitter,#Tech,Reel,UK,152589,231019,38248,15161,High
TikTok,#Challenge,Reel,Germany,2402078,344828,57963,24529,Low
Twitter,#Challenge,Shorts,USA,1755140,106639,69965,14068,Low
YouTube,#Fitness,Reel,India,3937165,220022,33447,40328,Low
Instagram,#Tech,Post,USA,4739340,30609,72269,38645,High
TikTok,#Dance,Shorts,Canada,3831295,342163,18158,42891,Low
Twitter,#Fashion,Post,UK,4395518,177243,14128,38308,Medium
Twitter,#Viral,Tweet,India,3231089,101739,6371,33003,High
YouTube,#Fitness,Reel,Japan,2324440,32741,36375,13921,High
YouTube,#Fitness,Shorts,Canada,3220901,364571,27324,39461,Low
Instagram,#Challenge,Video,Canada,358197,302752,72799,21197,Medium
YouTube,#Fitness,Live Stream,Canada,2580641,123664,69711,7855,Low
TikTok,#Challenge,Shorts,Japan,2681634,368908,27522,23777,Medium
YouTube,#Viral,Video,Brazil,1214414,157239,57620,29886,High
Twitter,#Fitness,Live Stream,India,2095372,123030,65568,5739,Medium
Twitter,#Fashion,Shorts,USA,1459934,300011,84049,5584,Medium
YouTube,#Challenge,Reel,USA,4116315,46829,55447,45969,Medium
TikTok,#Gaming,Post,India,296788,433928,54838,18371,Low
YouTube,#Fitness,Reel,USA,16896,474590,4148,49986,Low
Instagram,#Education,Shorts,Australia,155519,315644,87191,4007,Low
Instagram,#Music,Reel,Canada,434344,82529,16899,35321,High
Twitter,#Tech,Reel,Japan,901026,172427,47033,4198,Medium
Twitter,#Gaming,Post,UK,2091073,475472,4277,34762,Medium
Twitter,#Fashion,Reel,Australia,1592524,410109,38169,2232,Low
Instagram,#Dance,Post,Japan,1567332,378583,88750,33441,Low
TikTok,#Dance,Video,India,583548,159734,5218,18625,Medium
YouTube,#Dance,Shorts,Canada,3589977,378797,16666,45806,Low
TikTok,#Fashion,Live Stream,Japan,2142186,145976,95970,8679,Medium
Twitter,#Tech,Live Stream,Australia,3887527,400205,11490,12108,Medium
Instagram,#Dance,Reel,Canada,3265277,458051,29284,27213,High
Instagram,#Fitness,Video,USA,2468546,184286,40314,40022,Medium
TikTok,#Fitness,Tweet,Canada,2069657,384667,92434,33853,Medium
YouTube,#Challenge,Tweet,Australia,4289977,96645,89277,22760,Low
YouTube,#Comedy,Live Stream,Japan,274569,84850,78663,22317,Low
Instagram,#Viral,Video,Japan,4530657,343884,23584,33459,Low
TikTok,#Education,Tweet,UK,784735,222216,18478,15303,High
TikTok,#Gaming,Video,Australia,3640704,122275,69449,39348,Low
Twitter,#Fashion,Tweet,Canada,4201548,235903,65461,45899,Low
Instagram,#Viral,Reel,UK,2674421,365369,78273,45815,High
Twitter,#Fitness,Post,USA,2944740,49038,74344,44081,High
YouTube,#Fitness,Live Stream,Australia,1417380,466880,27498,31415,High
Twitter,#Challenge,Tweet,Canada,3439140,412155,15138,23614,Low
TikTok,#Gaming,Live Stream,Japan,1673508,79020,91806,20155,High
Twitter,#Gaming,Video,Australia,1053561,469326,72822,39659,Low
Twitter,#Comedy,Reel,USA,2030811,448529,13583,24483,Medium
Twitter,#Fashion,Tweet,UK,4210620,188460,2003,44118,Medium
TikTok,#Education,Post,Germany,2449143,142284,86663,26545,High
YouTube,#Fashion,Live Stream,UK,1530621,127327,89084,33491,Low
Instagram,#Challenge,Tweet,Japan,4848430,366691,47997,35753,Low
YouTube,#Challenge,Video,India,4303440,2761,98789,28154,High
YouTube,#Gaming,Tweet,Brazil,1334444,480156,75315,4080,High
Twitter,#Challenge,Post,Brazil,4476612,393831,51315,38941,Medium
Twitter,#Music,Live Stream,India,175519,468536,73583,28742,High
TikTok,#Tech,Reel,UK,2101312,299542,6451,23831,Low
Instagram,#Music,Reel,Canada,203200,218590,72764,34315,Low
TikTok,#Challenge,Live Stream,USA,3105849,19437,81661,30275,Low
Twitter,#Viral,Tweet,Japan,1633210,436819,60378,21976,High
TikTok,#Challenge,Video,Japan,2035775,228933,57754,21473,High
TikTok,#Fitness,Post,India,3600594,292122,20092,46352,Low
YouTube,#Education,Post,Canada,885219,120632,61893,2148,Medium
Instagram,#Challenge,Tweet,USA,3171786,50849,1646,20221,Medium
TikTok,#Challenge,Reel,UK,3810326,307848,55932,4856,High
Instagram,#Dance,Video,Australia,103897,39137,23566,43482,High
Instagram,#Comedy,Reel,India,267595,196017,71829,28958,Medium
Twitter,#Viral,Shorts,USA,859794,253727,18939,7344,Medium
Instagram,#Music,Tweet,Australia,1032172,63781,81612,41902,High
TikTok,#Challenge,Video,USA,4207986,433397,76452,4641,High
Twitter,#Dance,Post,Germany,4256325,88247,44482,34984,Low
TikTok,#Viral,Video,USA,416662,334892,26921,5078,High
Twitter,#Music,Tweet,Japan,3438856,106702,82635,48353,Medium
Twitter,#Comedy,Video,UK,270796,352250,73303,40986,Medium
TikTok,#Music,Shorts,India,168375,59089,63545,31044,High
TikTok,#Comedy,Tweet,India,2605588,324998,11214,20805,Low
YouTube,#Gaming,Reel,Canada,1234193,366180,76467,46591,Low
YouTube,#Education,Post,USA,1921686,235328,25763,14304,Low
YouTube,#Fashion,Reel,UK,133339,248507,41515,30406,Medium
TikTok,#Comedy,Live Stream,Japan,2027807,181535,68072,3161,Medium
Twitter,#Dance,Tweet,USA,2169060,107786,69766,49507,Medium
TikTok,#Tech,Live Stream,UK,3544861,135885,21914,32733,Medium
Twitter,#Viral,Post,Canada,1705105,53294,74926,48281,High
YouTube,#Comedy,Video,Australia,2588183,255730,21342,29577,Medium
Twitter,#Comedy,Tweet,India,2235474,91583,92501,28268,Low
TikTok,#Challenge,Video,UK,3524223,1184,78674,12101,High
YouTube,#Viral,Live Stream,UK,1893669,98719,38141,25909,High
YouTube,#Fashion,Video,Brazil,984735,436238,69677,42992,Low
YouTube,#Fashion,Live Stream,Germany,3801329,179214,62593,37675,Low
TikTok,#Tech,Tweet,Japan,4112956,62765,47325,39189,Medium
Instagram,#Fashion,Video,Germany,4244091,247707,91134,21078,Low
YouTube,#Dance,Reel,Brazil,795243,129380,23945,4134,Medium
Instagram,#Dance,Shorts,Germany,670647,304751,19252,4825,Medium
TikTok,#Viral,Reel,Germany,1333724,340778,70404,45627,Low
Instagram,#Tech,Tweet,Germany,3681863,228168,9128,32280,Medium
Instagram,#Tech,Live Stream,India,4466621,479028,75159,13063,Low
YouTube,#Gaming,Tweet,Canada,4294256,475876,28764,40435,Low
Twitter,#Tech,Shorts,Canada,2668217,489199,86017,44585,Medium
Twitter,#Fashion,Tweet,Australia,752874,409136,81870,13101,High
Instagram,#Fitness,Tweet,Japan,2168159,445889,80260,44121,High
Instagram,#Comedy,Post,UK,4930465,145318,39080,9349,High
Twitter,#Dance,Video,Canada,4914010,19243,56002,8519,Medium
Twitter,#Gaming,Video,Australia,584615,150064,84725,17775,Medium
YouTube,#Challenge,Shorts,Japan,1142278,236928,12775,5265,High
YouTube,#Education,Shorts,India,730387,372363,3897,3722,Medium
YouTube,#Comedy,Live Stream,Brazil,2023853,456466,20085,32976,High
TikTok,#Music,Tweet,Canada,2816495,370066,79854,29476,High
TikTok,#Challenge,Reel,Australia,2586745,404333,74597,46511,Medium
TikTok,#Fashion,Live Stream,India,57063,445321,50056,13751,Medium
YouTube,#Dance,Shorts,Japan,3634921,62251,65353,36771,High
TikTok,#Viral,Reel,Germany,4192386,294804,89443,27277,High
YouTube,#Tech,Video,USA,3691681,86388,36191,49207,Medium
TikTok,#Tech,Video,Germany,4837671,346397,58957,5374,Low
TikTok,#Tech,Shorts,Japan,2241707,352345,74249,451,Medium
TikTok,#Education,Video,Brazil,2425554,328451,85600,31540,Medium
YouTube,#Gaming,Reel,USA,4400609,235736,85103,19014,High
YouTube,#Fashion,Live Stream,Germany,4335484,265736,60002,48789,Medium
TikTok,#Gaming,Reel,India,2103742,157003,60341,40513,High
Twitter,#Tech,Reel,USA,576763,467832,41087,8066,Medium
YouTube,#Tech,Reel,Japan,1143848,58018,37436,18311,Low
Instagram,#Gaming,Shorts,UK,4356392,411938,75228,24469,Low
YouTube,#Tech,Tweet,Japan,405063,366573,35185,36177,Medium
YouTube,#Fashion,Live Stream,UK,939082,406358,86675,10858,Low
YouTube,#Fashion,Video,Brazil,1911934,414686,62802,17662,Low
YouTube,#Tech,Live Stream,Germany,1708144,56901,20001,7802,Medium
TikTok,#Dance,Live Stream,Canada,4730930,442721,55560,33554,High
Instagram,#Gaming,Tweet,Canada,2361266,184502,87669,13578,Medium
YouTube,#Gaming,Tweet,Brazil,3159075,438956,91840,31899,Low
Instagram,#Dance,Tweet,UK,3526448,51600,83324,34949,High
TikTok,#Comedy,Shorts,Japan,449285,61991,31039,47417,Low
Instagram,#Fashion,Live Stream,India,3003531,381398,70031,25141,Low
TikTok,#Gaming,Live Stream,Germany,4589879,316201,78508,13106,Low
Twitter,#Fashion,Post,Brazil,556209,487912,29642,45365,Medium
YouTube,#Comedy,Shorts,India,3050658,191272,53935,19636,High
Twitter,#Challenge,Tweet,USA,468718,351338,89790,32094,High
TikTok,#Music,Live Stream,Brazil,1024956,294506,13536,48320,High
Twitter,#Challenge,Video,Germany,2127962,220734,21453,14972,Medium
Twitter,#Fashion,Reel,Canada,4856986,291395,99817,7707,High
Twitter,#Comedy,Post,Australia,1318537,324242,11914,19688,Low
Twitter,#Viral,Video,Australia,2020909,65259,90445,33608,Medium
TikTok,#Music,Reel,Australia,781134,305684,90185,22404,High
Instagram,#Dance,Live Stream,Germany,2349428,91877,14035,48890,High
Instagram,#Music,Post,Canada,3495833,247723,73354,24761,High
Twitter,#Comedy,Live Stream,UK,754145,104586,83802,36911,High
TikTok,#Fashion,Shorts,USA,2286322,316805,99649,12197,High
YouTube,#Viral,Shorts,Canada,2307501,358459,4933,24085,Medium
YouTube,#Fitness,Tweet,USA,3047358,462784,10533,18903,Low
YouTube,#Fitness,Reel,Canada,3309387,35776,49912,10371,Medium
TikTok,#Music,Tweet,USA,187729,306823,3693,18459,High
Twitter,#Fashion,Shorts,Australia,3058341,425490,24075,1043,Low
TikTok,#Tech,Shorts,India,4047723,238367,5924,7164,Medium
Twitter,#Fitness,Reel,Australia,1543219,36775,22461,12596,Low
Twitter,#Comedy,Post,UK,1912145,125046,33950,35129,Medium
TikTok,#Challenge,Video,India,2497149,23114,23917,18942,Low
Instagram,#Education,Shorts,Brazil,220575,200694,61870,17571,Medium
TikTok,#Gaming,Reel,Canada,1373925,83584,5032,45668,Medium
Instagram,#Gaming,Video,Canada,3287015,228853,73672,31885,Medium
TikTok,#Fitness,Tweet,Canada,3257070,20757,52198,42698,Medium
YouTube,#Comedy,Reel,Canada,2240771,454178,29349,31522,Low
YouTube,#Comedy,Post,USA,1111363,349304,23955,7574,High
Instagram,#Gaming,Reel,USA,1976709,80323,48505,43372,Medium
Twitter,#Fashion,Reel,Brazil,3802774,499236,96550,28438,Medium
Instagram,#Challenge,Live Stream,Brazil,2827457,65941,46483,48418,Medium
Twitter,#Viral,Video,UK,1452698,161930,17928,18917,Medium
Twitter,#Gaming,Reel,Japan,1415487,399428,8466,3334,High
TikTok,#Challenge,Reel,Brazil,1633680,423061,89011,33365,High
Instagram,#Viral,Reel,Germany,493921,40363,16844,32469,Low
YouTube,#Music,Tweet,UK,2517670,360247,26754,33262,Low
Twitter,#Fitness,Tweet,Brazil,2701054,19099,6791,12487,Medium
TikTok,#Comedy,Tweet,Canada,566432,123321,33394,35085,High
Twitter,#Dance,Post,Canada,4087476,19388,12617,13668,High
Instagram,#Music,Live Stream,Japan,1703104,197192,63338,3886,High
TikTok,#Comedy,Shorts,Germany,4794357,460406,36718,9386,Medium
Twitter,#Comedy,Post,USA,3758458,228695,61603,4448,Low
Twitter,#Challenge,Live Stream,Brazil,1557528,434353,94792,47416,High
YouTube,#Challenge,Reel,Germany,2962657,129075,42946,24127,Medium
Instagram,#Fashion,Tweet,India,4992601,389024,91886,16411,High
YouTube,#Music,Reel,India,1703137,293146,32428,36233,High
Twitter,#Comedy,Reel,UK,3749586,315273,93109,16533,Low
Twitter,#Music,Video,UK,1350342,347635,85096,4171,Medium
TikTok,#Fashion,Shorts,USA,3771445,420305,58653,23940,Low
Instagram,#Tech,Tweet,Germany,1814986,411569,12811,40638,Medium
YouTube,#Fitness,Video,India,2694912,28836,90228,9577,Low
TikTok,#Fashion,Live Stream,USA,4368330,103328,93696,45312,High
Instagram,#Music,Live Stream,USA,213212,31125,57224,27244,High
TikTok,#Dance,Shorts,UK,2875732,138204,72909,42115,Medium
Twitter,#Fashion,Tweet,Japan,4413422,167555,58449,806,Low
TikTok,#Comedy,Reel,Canada,4657315,76313,37855,4252,Medium
TikTok,#Fashion,Tweet,Japan,1677563,50282,14469,12725,High
TikTok,#Dance,Post,India,3295972,316535,22109,19848,Medium
YouTube,#Fitness,Post,Australia,1917861,499874,92567,19082,Low
YouTube,#Gaming,Reel,Canada,842705,231984,87290,43282,Low
YouTube,#Viral,Video,USA,1197159,216342,10156,7638,Medium
Twitter,#Comedy,Live Stream,Canada,3357438,35821,87391,33823,Low
TikTok,#Gaming,Tweet,Canada,2248921,5928,68590,38086,High
YouTube,#Viral,Tweet,UK,636012,204341,36007,14775,Medium
YouTube,#Gaming,Live Stream,Canada,580413,148546,85714,30266,Medium
Twitter,#Gaming,Post,Brazil,1619478,202449,22506,49206,Low
YouTube,#Challenge,Post,Germany,2727339,225746,26005,12638,High
Instagram,#Tech,Post,Canada,4168696,113448,30625,48391,Medium
YouTube,#Challenge,Post,UK,4780227,282426,29708,35199,Low
YouTube,#Fitness,Post,Australia,4112679,426935,38868,26186,Medium
Twitter,#Dance,Tweet,Japan,4758478,12810,84684,28499,High
Instagram,#Tech,Post,UK,2942675,167857,18673,3273,Medium
TikTok,#Fashion,Post,Canada,3955213,127357,29753,3803,Medium
TikTok,#Comedy,Shorts,Australia,74888,471073,9766,20104,Low
YouTube,#Tech,Video,India,4261296,160489,27495,49820,Low
YouTube,#Challenge,Live Stream,Australia,85136,155014,78757,18966,Low
Instagram,#Music,Live Stream,Australia,401582,415577,39290,43037,High
Twitter,#Fashion,Live Stream,Brazil,2355918,414382,71397,7294,Low
Instagram,#Gaming,Reel,UK,3508758,417726,86984,579,Low
Twitter,#Viral,Video,Brazil,4974277,54468,92889,6169,Low
YouTube,#Fashion,Live Stream,UK,1032747,356909,54789,47157,Medium
Instagram,#Comedy,Post,India,1827742,68140,14386,10354,Medium
Twitter,#Tech,Post,Germany,4002361,185270,4346,44739,High
Instagram,#Fitness,Post,UK,3892548,47532,2967,4004,Low
Twitter,#Fashion,Tweet,UK,815181,3087,33539,8879,High
Instagram,#Comedy,Reel,UK,4428223,263558,38409,220,Medium
TikTok,#Challenge,Video,USA,3499233,152081,83684,11191,High
TikTok,#Fitness,Reel,UK,276967,343350,55422,42492,Medium
TikTok,#Comedy,Live Stream,Canada,556068,40772,70937,39800,High
TikTok,#Tech,Live Stream,Canada,3658692,209387,89681,14453,Medium
TikTok,#Dance,Tweet,Brazil,4694065,334810,58512,17934,Low
Twitter,#Challenge,Video,USA,674124,498332,88370,26302,Medium
Twitter,#Fashion,Shorts,Australia,967084,311164,92571,42138,Low
TikTok,#Tech,Post,Japan,3461594,176543,86904,47992,Medium
Twitter,#Tech,Post,Canada,691868,492439,22816,25718,Low
YouTube,#Tech,Tweet,UK,1628325,256374,7548,17955,High
TikTok,#Fitness,Post,UK,2000181,232088,3584,21517,Medium
Instagram,#Dance,Shorts,USA,1277252,142436,54890,11779,Low
YouTube,#Viral,Reel,UK,4920706,357561,63705,22476,Medium
YouTube,#Challenge,Post,USA,2496480,117284,813,15105,Low
TikTok,#Gaming,Tweet,USA,2020483,136675,31661,39695,Low
YouTube,#Music,Tweet,Australia,2034792,224437,6189,13971,Medium
Twitter,#Music,Tweet,India,3596679,429470,19732,12766,High
TikTok,#Tech,Reel,Australia,1402768,385952,59599,23267,Low
TikTok,#Fashion,Tweet,UK,33485,153446,97898,28727,Medium
YouTube,#Fashion,Reel,USA,237107,374569,56320,28305,Medium
YouTube,#Fitness,Video,Japan,3047626,396572,2041,13218,Medium
YouTube,#Music,Shorts,Japan,3833797,375717,6416,35351,Low
TikTok,#Fashion,Post,Brazil,2674946,169667,87354,28176,High
Instagram,#Education,Shorts,Japan,338623,170174,38826,10092,Low
Instagram,#Education,Live Stream,Brazil,2262056,291846,30805,8381,Low
YouTube,#Gaming,Reel,Germany,1186234,144971,1008,34541,Medium
Instagram,#Dance,Video,India,329482,463165,31309,31828,High
Twitter,#Fashion,Live Stream,Australia,3154154,51824,6624,33785,Medium
Twitter,#Education,Post,Japan,4996111,392899,9476,237,Medium
Instagram,#Fitness,Reel,USA,1701876,310183,78161,41590,Medium
Instagram,#Fitness,Reel,USA,142287,488840,88711,41354,Medium
TikTok,#Music,Tweet,Brazil,570572,194018,31840,38584,High
YouTube,#Dance,Shorts,Australia,3823016,339895,79041,43901,Medium
YouTube,#Music,Video,USA,4567760,463413,32735,22516,High
YouTube,#Dance,Live Stream,Australia,1080580,147375,99235,11219,Medium
TikTok,#Education,Shorts,Canada,4341647,156740,34892,8881,Low
Instagram,#Education,Tweet,Brazil,1680761,17011,75940,20745,Medium
Instagram,#Education,Post,Japan,3759036,49515,94487,19525,Medium
Instagram,#Comedy,Tweet,Germany,4990567,196104,40750,15936,Low
Twitter,#Comedy,Video,India,3878035,348866,80120,34139,Low
YouTube,#Challenge,Live Stream,Japan,2655487,236695,22847,47938,Medium
YouTube,#Dance,Tweet,Canada,4658092,187743,97119,10070,High
Twitter,#Fitness,Video,Canada,559570,479352,39884,22495,Medium
TikTok,#Fashion,Video,Brazil,36380,191250,49211,34693,Medium
TikTok,#Viral,Video,USA,3514325,72881,13919,31645,High
TikTok,#Gaming,Reel,UK,4254334,441095,11321,4039,High
YouTube,#Challenge,Post,Canada,1700594,333525,46048,33160,High
YouTube,#Music,Reel,Australia,1019069,306484,74925,38141,Medium
YouTube,#Challenge,Reel,Germany,345799,273374,75861,44327,Low
Instagram,#Comedy,Tweet,Canada,895082,165876,33670,43357,Low
TikTok,#Education,Live Stream,India,468457,278112,72079,5499,High
YouTube,#Tech,Live Stream,Germany,4999077,490971,6444,16296,Medium
Twitter,#Comedy,Shorts,USA,4735015,459475,93656,26336,High
YouTube,#Gaming,Reel,Japan,3938926,246185,99069,45377,Low
TikTok,#Music,Live Stream,USA,204921,127363,83720,40404,Low
Twitter,#Education,Post,Canada,164682,366089,73679,36494,Medium
Instagram,#Challenge,Video,USA,3223017,409378,89525,29071,High
Twitter,#Viral,Reel,Canada,185319,131508,70124,10358,High
Twitter,#Tech,Post,Brazil,69325,235226,34520,49751,Medium
TikTok,#Viral,Video,India,1117579,243650,99520,20065,Medium
Instagram,#Fitness,Reel,Canada,4144067,133720,86090,44322,Low
Twitter,#Gaming,Tweet,Australia,4059731,426920,24990,34937,High
TikTok,#Comedy,Post,India,95396,279129,37417,25488,Low
TikTok,#Gaming,Reel,Canada,3606397,21765,44898,25802,Medium
Instagram,#Education,Shorts,Brazil,3997068,292005,85139,5723,Medium
TikTok,#Viral,Live Stream,Brazil,2815065,428338,96688,9583,Medium
YouTube,#Fitness,Reel,Japan,929026,60319,15982,2578,High
TikTok,#Viral,Shorts,UK,717380,238324,14383,30798,Low
TikTok,#Viral,Shorts,Germany,4243476,160022,73527,9324,High
Instagram,#Fitness,Shorts,Japan,2287664,205770,47154,11030,Low
Twitter,#Dance,Post,Brazil,3459809,160850,77013,43812,High
TikTok,#Fashion,Post,Germany,4536297,387809,76516,17176,Medium
TikTok,#Tech,Tweet,Australia,852564,390933,8960,23869,Medium
YouTube,#Dance,Post,UK,4841341,357249,91745,20572,Low
TikTok,#Music,Post,Japan,2905718,324095,73361,37029,Low
YouTube,#Gaming,Shorts,UK,2035800,330602,78450,32908,Medium
TikTok,#Viral,Live Stream,USA,3102190,192002,40911,3390,Low
Twitter,#Viral,Post,India,336179,268506,44773,15742,Medium
YouTube,#Education,Reel,India,1436013,394721,27620,4864,High
TikTok,#Challenge,Shorts,Australia,2484617,291379,87937,19854,High
TikTok,#Education,Tweet,Brazil,3453424,279506,30204,25911,Low
Instagram,#Fashion,Video,Germany,172200,480028,66136,20523,High
Twitter,#Challenge,Video,Brazil,1695407,499065,98572,16630,Low
TikTok,#Education,Video,Japan,2050045,22490,29109,881,Medium
Instagram,#Gaming,Video,Canada,4828592,471991,21120,11961,High
YouTube,#Tech,Live Stream,Australia,1249895,111529,10973,36891,Medium
TikTok,#Fashion,Post,UK,2448575,223486,29403,39483,Medium
YouTube,#Gaming,Post,USA,493548,76378,67586,45093,High
Twitter,#Education,Live Stream,Brazil,1435388,66738,40540,12303,Low
Instagram,#Fashion,Live Stream,USA,4257118,186429,23604,19658,High
YouTube,#Comedy,Tweet,Canada,3491749,88660,76249,22573,Medium
Instagram,#Fashion,Shorts,USA,123286,34636,6143,15414,Medium
Twitter,#Comedy,Shorts,Canada,1704720,348558,73574,10733,High
Twitter,#Gaming,Reel,India,2543309,40011,54069,9368,Medium
Instagram,#Dance,Live Stream,Canada,2552873,342534,85291,24004,High
Twitter,#Fashion,Post,USA,811936,44802,35448,32099,High
YouTube,#Comedy,Video,Germany,116734,384391,60921,39945,High
Twitter,#Education,Post,Japan,1819191,352415,83445,48547,High
YouTube,#Challenge,Post,USA,8982,353646,77267,39542,Medium
Twitter,#Gaming,Post,UK,4286813,286139,99445,10512,Low
Instagram,#Music,Reel,Japan,3073979,274163,78633,27860,Low
TikTok,#Fitness,Video,Japan,2105915,206288,56382,33816,High
YouTube,#Music,Reel,Brazil,4421670,360176,29475,39282,High
Instagram,#Tech,Tweet,Germany,939952,64597,3267,48732,Low
Instagram,#Gaming,Shorts,Brazil,3697216,209784,41633,19831,Medium
Instagram,#Challenge,Live Stream,Japan,3339645,423737,51231,19571,Low
Twitter,#Gaming,Tweet,Brazil,764438,337969,65215,38876,Low
